Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
ESC_H33_03h_rep3_pass_2	17.2156771677	51.0	61819000.0	18.1818181818	43.0
ESC_H33_06h_rep1_pass_1	18.5140807318	50.0	54520835.0	18.1818181818	42.0
ESC_H33_06h_rep1_pass_2	18.186494177	50.0	54520835.0	18.1818181818	43.0
ESC_H33_06h_rep2_pass_1	21.0964081302	51.0	52404874.0	18.1818181818	41.0
ESC_H33_06h_rep2_pass_2	20.2494899329	51.0	52404874.0	27.2727272727	41.0
ESC_H33_06h_rep3_pass_1	19.0479684138	51.0	71299746.0	18.1818181818	43.0
ESC_H33_06h_rep3_pass_2	19.0230340782	51.0	71299746.0	18.1818181818	43.0
ESC_H33_12h_rep1_pass_1	21.0714684252	50.0	48003595.0	18.1818181818	42.0
ESC_H33_12h_rep1_pass_2	20.3030604577	50.0	48003595.0	18.1818181818	42.0
ESC_H33_12h_rep2_pass_1	22.3733796527	51.0	56465565.0	9.09090909091	40.0
ESC_H33_12h_rep2_pass_2	21.5014777208	51.0	56465565.0	18.1818181818	40.0
ESC_H33_12h_rep3_pass_1	18.2220969736	51.0	53722913.0	18.1818181818	42.0
ESC_H33_12h_rep3_pass_2	18.1248720431	51.0	53722913.0	18.1818181818	42.0
ESC_H33_inp_rep1_pass_1	14.4616093383	50.0	47432492.0	18.1818181818	42.0
ESC_H33_inp_rep1_pass_2	14.5212912999	50.0	47432492.0	18.1818181818	42.0
ESC_H33_inp_rep2_3_pass_1	15.694360759	51.0	68432671.0	18.1818181818	41.0
ESC_H33_inp_rep2_3_pass_2	15.6176804579	51.0	68432671.0	18.1818181818	41.0
ESC_HA_pass_1	14.779147518	51.0	56017957.0	18.1818181818	44.0
ESC_HA_pass_2	14.7317229735	51.0	56017957.0	18.1818181818	44.0
ESC_inp_HA_pass_1	14.484954493	51.0	48011164.0	18.1818181818	41.0
ESC_inp_HA_pass_2	14.3414120994	51.0	48011164.0	18.1818181818	41.0
NSC_H33_00h_rep1_pass_1	15.4303676129	51.0	41553061.0	18.1818181818	41.0
NSC_H33_00h_rep1_pass_2	15.4094758274	51.0	41553061.0	18.1818181818	41.0
NSC_H33_00h_rep2_pass_1	17.153546566	51.0	38823118.0	18.1818181818	41.0
NSC_H33_00h_rep2_pass_2	16.2593861401	51.0	38823118.0	18.1818181818	41.0
NSC_H33_00h_rep3_pass_1	20.5845921581	51.0	70697772.0	18.1818181818	41.0
NSC_H33_00h_rep3_pass_2	20.0213904079	51.0	70697772.0	18.1818181818	42.0
NSC_H33_03h_rep1_pass_1	22.4533499476	51.0	50697539.0	18.1818181818	39.0
NSC_H33_03h_rep1_pass_2	22.2056102928	51.0	50697539.0	18.1818181818	40.0
NSC_H33_03h_rep2_pass_1	25.7357704619	51.0	60894075.0	18.1818181818	40.0
NSC_H33_03h_rep2_pass_2	24.4235043497	51.0	60894075.0	18.1818181818	40.0
NSC_H33_03h_rep3_pass_1	22.4426140818	51.0	62159343.0	18.1818181818	40.0
NSC_H33_03h_rep3_pass_2	21.8532855809	51.0	62159343.0	18.1818181818	40.0
NSC_H33_06h_rep1_pass_1	28.0224207198	51.0	49833076.0	18.1818181818	39.0
NSC_H33_06h_rep1_pass_2	27.1574912624	51.0	49833076.0	18.1818181818	39.0
NSC_H33_06h_rep2_pass_1	42.2528354353	51.0	56261187.0	27.2727272727	40.0
NSC_H33_06h_rep2_pass_2	39.1214585512	51.0	56261187.0	18.1818181818	40.0
NSC_H33_06h_rep3_pass_1	28.9728203231	51.0	81278720.0	18.1818181818	39.0
NSC_H33_06h_rep3_pass_2	28.1668860972	51.0	81278720.0	18.1818181818	40.0
NSC_H33_12h_rep1_pass_1	28.6776334787	51.0	60578961.0	18.1818181818	39.0
NSC_H33_12h_rep1_pass_2	27.5613090776	51.0	60578961.0	18.1818181818	39.0
NSC_H33_12h_rep2_pass_1	46.0131074	51.0	67643768.0	27.2727272727	40.0
NSC_H33_12h_rep2_pass_2	41.3296071788	51.0	67643768.0	18.1818181818	41.0
NSC_H33_12h_rep3_pass_1	34.9813834431	51.0	47321563.0	18.1818181818	39.0
NSC_H33_12h_rep3_pass_2	32.8338269902	51.0	47321563.0	18.1818181818	40.0
NSC_H33_inp_rep1_pass_1	14.8598958771	51.0	59034568.0	18.1818181818	40.0
NSC_H33_inp_rep1_pass_2	14.7198165964	51.0	59034568.0	18.1818181818	40.0
NSC_H33_inp_rep2_3_pass_1	13.5391767999	51.0	35454545.0	18.1818181818	39.0
NSC_H33_inp_rep2_3_pass_2	13.376130849	51.0	35454545.0	18.1818181818	39.0
