Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ESC_inp_HA_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	48011164.0	pass	fail	pass	41.0	85.6585879006	ESC_inp_HA_pass_2.fastq.gz		pass
NSC_H33_00h_rep1_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	41553061.0	pass	fail	warn	41.0	84.5696323871	NSC_H33_00h_rep1_pass_1.fastq.gz		pass
NSC_H33_00h_rep1_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	41553061.0	pass	fail	warn	41.0	84.5905241726	NSC_H33_00h_rep1_pass_2.fastq.gz		pass
NSC_H33_00h_rep2_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	38823118.0	pass	fail	warn	41.0	82.846453434	NSC_H33_00h_rep2_pass_1.fastq.gz		pass
NSC_H33_00h_rep2_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	38823118.0	pass	fail	warn	41.0	83.7406138599	NSC_H33_00h_rep2_pass_2.fastq.gz		pass
NSC_H33_00h_rep3_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	70697772.0	pass	fail	warn	41.0	79.4154078419	NSC_H33_00h_rep3_pass_1.fastq.gz		pass
NSC_H33_00h_rep3_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	70697772.0	pass	fail	warn	42.0	79.9786095921	NSC_H33_00h_rep3_pass_2.fastq.gz		pass
NSC_H33_03h_rep1_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	50697539.0	pass	fail	warn	39.0	77.5466500524	NSC_H33_03h_rep1_pass_1.fastq.gz		pass
NSC_H33_03h_rep1_pass_2	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	50697539.0	pass	fail	warn	40.0	77.7943897072	NSC_H33_03h_rep1_pass_2.fastq.gz		pass
NSC_H33_03h_rep2_pass_1	pass	0.0	pass	51.0	Sanger / Illumina 1.9	fail	pass	pass	51.0	Conventional base calls	pass	warn	60894075.0	pass	fail	warn	40.0	74.2642295381	NSC_H33_03h_rep2_pass_1.fastq.gz		pass
